trip1, sequence1, lat, long, trip2, sequence2, lat2,long2
403,10150,19.4527228404,-99.1280517161,237,6088,19.4527325321,-99.1280517161
248,6413,19.4872507217,-99.0512519192,352,9014,19.4872370007,-99.0512519192
582,14783,19.3383730099,-99.0652157862,194,4928,19.3384112663,-99.0652157862
285,7434,19.3323582771,-99.1711905097,114,2982,19.3323471268,-99.1711905097
325,8434,19.2831043674,-99.2040617894,500,12603,19.2831067896,-99.2040617894
146,3743,19.4944837,-99.147154,67,1814,19.4944749453,-99.147154
513,12956,19.303795291,-99.1452587728,569,14516,19.3038385149,-99.1452587728
247,6380,19.3785812142,-99.0598368777,398,10013,19.3785990997,-99.0598368777
144,3721,19.2843635757,-99.2004847799,41,4766,19.2843623764,-99.2004847799
549,13987,19.3512962493,-99.07563577,449,11354,19.3513316528,-99.07563577
116,3005,19.3744497691,-99.098461803,613,15696,19.3743841267,-99.098461803
15,448,19.3426239197,-99.1444222804,473,11964,19.3426218054,-99.1444222804
80,12020,19.4214508048,-99.1336389041,152,5143,19.4213914868,-99.1336389041
149,3822,19.410163854,-99.0799722748,145,3728,19.4101653,-99.0799722748
597,15260,19.511453661,-99.1031260513,161,4189,19.5114047071,-99.1031260513
79,9297,19.3722867584,-99.097517717,37,6036,19.3722148929,-99.097517717
57,1525,19.3399477868,-99.2513339224,499,12547,19.3399031309,-99.2513339224
278,7211,19.3055995226,-99.1846653851,445,11224,19.3056209333,-99.1846653851
146,3761,19.4819544653,-99.1834905219,345,8856,19.481960046,-99.1834905219
299,13220,19.4686415447,-99.0642957625,275,7381,19.4686518,-99.0642957625
15,467,19.3251662916,-99.1667835526,85,5398,19.3251659122,-99.1667835526
303,7859,19.4855134755,-99.1185792266,327,8469,19.4854303691,-99.1185792266
65,1779,19.2999492101,-99.1109505456,159,4095,19.2999637551,-99.1109505456
224,5744,19.4204869825,-99.0957700828,299,7786,19.4204929302,-99.0957700828
314,8136,19.3521081804,-99.0771381718,399,10039,19.3520721925,-99.0771381718
569,14514,19.3024320242,-99.1462670108,610,15618,19.3024345102,-99.1462670108
310,10817,19.4732808012,-99.0796092764,618,15838,19.4732779615,-99.0796092764
354,9055,19.493417266,-99.2151394093,241,6185,19.4934558453,-99.2151394093
543,13790,19.4229788381,-99.1260338048,321,8348,19.4229329,-99.1260338048
148,3801,19.3040804955,-99.1803288795,162,4219,19.3041022295,-99.1803288795
225,5758,19.2948037443,-99.1824314391,427,10832,19.294818269,-99.1824314391
325,8423,19.2866966645,-99.1863057459,198,16002,19.2867319348,-99.1863057459
502,12660,19.3380255078,-99.1089580787,431,10925,19.3379748668,-99.1089580787
357,9133,19.3374070077,-99.2369353554,488,12279,19.3374000103,-99.2369353554
393,9920,19.439593943,-99.137438643,172,4469,19.4395531,-99.137438643
332,14353,19.4175242361,-99.0722576406,280,13417,19.4175236993,-99.0722576406
610,15625,19.3044049516,-99.1259294926,65,1775,19.3044406925,-99.1259294926
159,4089,19.3006840031,-99.1141090258,65,1778,19.3007009837,-99.1141090258
398,10008,19.3561218158,-99.0583879548,381,9670,19.3561685467,-99.0583879548
216,16107,19.2784764736,-99.0075305715,113,2940,19.2784029988,-99.0075305715
219,12048,19.4209489484,-99.1761321161,153,3938,19.4209472,-99.1761321161
288,7575,19.3064774889,-99.3875039212,279,7233,19.3064801594,-99.3875039212
110,2883,19.3763362925,-99.0672285381,133,3416,19.3763287879,-99.0672285381
245,6305,19.689738204,-98.978485177,318,8280,19.6897641803,-98.978485177
78,2077,19.410942325,-99.0800134755,256,6671,19.4109148714,-99.0800134755
647,16640,19.3425631325,-99.1445250681,36,917,19.3425285567,-99.1445250681
496,12474,19.4398279,-99.1409499,172,4468,19.4398279,-99.1409499
537,14968,19.4764593,-99.0833619,248,6428,19.4764604986,-99.0833619
498,12499,19.4617563038,-99.0603412907,478,12093,19.4617509008,-99.0603412907
580,14743,19.4969579,-99.1183729,59,7751,19.4969579,-99.1183729
155,4018,19.3414679716,-99.1403007751,278,7229,19.3414722296,-99.1403007751
321,8347,19.4229329,-99.1260599,543,13790,19.4229788381,-99.1260599
517,13075,19.2924346846,-99.1255651401,577,14701,19.2925217896,-99.1255651401
583,15392,19.4576656035,-99.2146701391,308,7977,19.4576222916,-99.2146701391
225,5761,19.2940111763,-99.1725278391,433,10982,19.2939802377,-99.1725278391
148,3801,19.3040804955,-99.1803288795,162,4220,19.3040523783,-99.1803288795
59,7735,19.4529818335,-99.1308457394,327,11620,19.452958783,-99.1308457394
89,8977,19.4582360887,-99.2144259825,583,15401,19.4582930945,-99.2144259825
225,5755,19.292342196,-99.1782444962,198,5048,19.2923684466,-99.1782444962
286,7481,19.3999061436,-99.0989069878,129,3288,19.3999078125,-99.0989069878
108,2829,19.5525159558,-99.0514440725,360,9178,19.5524490352,-99.0514440725
627,16190,19.3604964864,-99.0844967667,78,13317,19.3604659108,-99.0844967667
16,6542,19.4451482136,-99.087067197,224,5742,19.4452152764,-99.087067197
337,8699,19.5042665814,-99.2013208528,119,15752,19.5043347372,-99.2013208528
165,16548,19.2550328607,-99.0666903711,61,1652,19.2550054124,-99.0666903711
216,16104,19.2720330085,-98.997772795,70,1871,19.2720303301,-98.997772795
109,2857,19.5455174563,-99.119652486,492,12378,19.545451162,-99.119652486
500,12585,19.2978622525,-99.1523532333,156,4027,19.29786491,-99.1523532333
261,6843,19.4198171113,-99.1754619051,454,14388,19.419824453,-99.1754619051
72,13961,19.4760099977,-99.0789742597,248,6423,19.4760382232,-99.0789742597
579,14739,19.4782600445,-99.187034625,102,15961,19.4782673258,-99.187034625
571,14545,19.4906575572,-99.1862783034,102,15972,19.4905828423,-99.1862783034
624,16029,19.3916192782,-99.073992144,231,5924,19.3915612832,-99.073992144
124,3169,19.3077593885,-99.1803627533,98,2571,19.3077398,-99.1803627533
449,11365,19.3431272586,-99.040951218,490,12327,19.3431359994,-99.040951218
315,8186,19.3478604578,-99.1645938449,369,9361,19.3477905185,-99.1645938449
325,8427,19.284475309,-99.1890674928,144,3717,19.2844542228,-99.1890674928
221,10949,19.3384113289,-99.1428548155,151,3886,19.3384765636,-99.1428548155
133,3410,19.3943576101,-99.0590283504,51,15856,19.3943042038,-99.0590283504
194,8323,19.3158467257,-99.0628279352,128,3273,19.3158299651,-99.0628279352
441,11180,19.4189641436,-99.1776624966,12,337,19.4189462974,-99.1776624966
262,6846,19.4644047297,-99.0639918298,618,15827,19.4643900991,-99.0639918298
254,6605,19.4376385024,-99.1377321059,393,9922,19.4375651327,-99.1377321059
217,5558,19.3167789513,-99.1380558293,621,15935,19.3168002723,-99.1380558293
569,14525,19.295448904,-99.1827009465,144,3707,19.2954552426,-99.1827009465
401,10127,19.4205561811,-99.1760639325,457,11515,19.4205537677,-99.1760639325
606,15522,19.463221003,-99.1540491811,599,15302,19.4632328,-99.1540491811
278,7213,19.3056182,-99.18463,445,11224,19.3056209333,-99.18463
324,12243,19.3732662627,-99.1880399469,117,13233,19.3732517858,-99.1880399469
504,12702,19.4993242574,-99.0954358406,617,15791,19.4992752973,-99.0954358406
266,6976,19.2859596864,-99.1921620667,325,8428,19.2859775481,-99.1921620667
579,14740,19.4988837261,-99.1842481786,102,15979,19.4989694157,-99.1842481786
431,10939,19.3043619424,-99.0600097179,22,651,19.3043456954,-99.0600097179
371,9411,19.3051342,-99.2345436,97,5858,19.3051342,-99.2345436
285,7431,19.337281308,-99.1842444667,473,13468,19.3372708493,-99.1842444667
72,13961,19.4760099977,-99.0789742597,248,6424,19.4760093619,-99.0789742597
35,914,19.3365048446,-99.1937718892,97,2558,19.3364859708,-99.1937718892
261,6801,19.37229748,-99.0977602087,79,9298,19.3722941575,-99.0977602087
552,14041,19.5038517259,-99.1135200683,377,9534,19.5038566364,-99.1135200683
317,8255,19.310056412,-99.2287479841,193,4915,19.3099715993,-99.2287479841
58,1584,19.5558364541,-99.0263624757,13,387,19.5557790207,-99.0263624757
256,7143,19.4125434574,-99.0843977378,271,7053,19.4125531571,-99.0843977378
404,10189,19.3125050708,-99.1703590994,554,15002,19.3125321017,-99.1703590994
481,12167,19.419411306,-99.1121764358,199,5063,19.4194059396,-99.1121764358
306,7921,19.3572182087,-99.1528992681,454,11480,19.3572367004,-99.1528992681
402,10132,19.3042987767,-99.1448832119,80,12006,19.3042662033,-99.1448832119
580,14753,19.4969579,-99.1183729,59,7751,19.4969579,-99.1183729
336,8677,19.3301868286,-99.1361971625,265,15219,19.330178884,-99.1361971625
35,897,19.3096028,-99.2287321068,317,8254,19.3095998535,-99.2287321068
310,7998,19.4813897167,-99.0769260506,122,3117,19.4813692433,-99.0769260506
414,10402,19.2977845999,-99.1377553339,554,14993,19.2978168813,-99.1377553339
144,3717,19.2844542228,-99.1891572246,325,8427,19.284475309,-99.1891572246
465,11738,19.3039873839,-99.1803343499,162,4220,19.3040523783,-99.1803343499
169,11508,19.337294091,-99.1841971313,285,7431,19.337281308,-99.1841971313
139,3609,19.5980730495,-99.0489719962,244,6254,19.5980547341,-99.0489719962
165,16553,19.2515162,-99.0595604,61,1649,19.2514978224,-99.0595604
15,464,19.3259388357,-99.1681573944,229,5886,19.3259338598,-99.1681573944
332,8613,19.4179912685,-99.0737461194,484,13679,19.4179039516,-99.0737461194
54,1426,19.3158177,-99.1663346,480,12149,19.3157598557,-99.1663346
220,5616,19.3931958061,-99.0506593275,271,7064,19.393170393,-99.0506593275
308,7977,19.4576222916,-99.2146893738,89,8973,19.4575618089,-99.2146893738
576,14694,19.2969892621,-99.233747444,391,9863,19.2969759255,-99.233747444
435,11049,19.3150564375,-99.0716919989,216,5455,19.3150524814,-99.0716919989
144,3724,19.2833298516,-99.2033464699,500,12602,19.2833495729,-99.2033464699
462,11630,19.4982915988,-99.0961382629,139,8793,19.4982661533,-99.0961382629
369,9361,19.3477905185,-99.1646098659,9,254,19.3477143644,-99.1646098659
543,13840,19.3532016151,-99.0798710508,449,11351,19.3532132535,-99.0798710508
129,3288,19.3999078125,-99.0989193399,286,7481,19.3999061436,-99.0989193399
95,2474,19.4841605902,-99.1347106409,270,7032,19.4841081905,-99.1347106409
90,2362,19.3224997685,-99.0836323566,39,1003,19.3225161645,-99.0836323566
613,15694,19.3722822978,-99.0973130838,37,931,19.3722827184,-99.0973130838
259,8829,19.4256817782,-99.037097752,332,14362,19.4256661548,-99.037097752
29,744,19.4036200725,-99.193658713,8,186,19.4036119874,-99.193658713
154,3984,19.321908234,-99.1606360894,621,15915,19.3218871358,-99.1606360894
66,1792,19.4583466,-99.2143752,89,2336,19.4583974427,-99.2143752
226,5802,19.356068069,-99.0933380447,543,13835,19.3560769785,-99.0933380447
543,13822,19.364876269,-99.1099503846,226,5792,19.3648787666,-99.1099503846
15,12825,19.335296428,-99.1697777461,229,5892,19.3353114368,-99.1697777461
198,5048,19.2923684466,-99.1782425753,225,5755,19.292342196,-99.1782425753
611,15643,19.4175261197,-99.0722161336,259,6732,19.4175263405,-99.0722161336
256,7145,19.4097570423,-99.0796026469,271,7056,19.409759416,-99.0796026469
125,12412,19.4207773109,-99.0170236957,332,14370,19.4207571992,-99.0170236957
604,15466,19.3222120598,-98.9588173893,149,3835,19.3222441861,-98.9588173893
67,1803,19.5185378924,-99.1475952455,75,1999,19.5184655122,-99.1475952455
581,14775,19.5115075774,-99.1969652881,586,14905,19.5115076327,-99.1969652881
500,12579,19.304205857,-99.1449525229,80,12006,19.3042662033,-99.1449525229
35,888,19.3007698351,-99.2332417583,162,4240,19.3007794,-99.2332417583
139,3589,19.5356528644,-99.063617355,200,5106,19.5356977293,-99.063617355
504,12722,19.5747560599,-99.0426305472,363,9232,19.5747901149,-99.0426305472
86,2268,19.4174935956,-99.1017106066,457,11706,19.4174986889,-99.1017106066
91,2383,19.4750346036,-99.1320538846,424,10764,19.4750241904,-99.1320538846
504,12707,19.5299418283,-99.0747060709,387,12623,19.5299456048,-99.0747060709
85,5402,19.320053618,-99.156582261,621,15918,19.3201157742,-99.156582261
615,15776,19.4397447211,-99.0899529738,528,13359,19.4397597112,-99.0899529738
582,14778,19.3453339486,-99.0649630742,194,4926,19.3452552072,-99.0649630742
583,14834,19.4885018104,-99.2168964522,89,8955,19.4884649181,-99.2168964522
507,12809,19.3372639354,-99.1836293279,644,16604,19.3372830518,-99.1836293279
413,10374,19.3838654538,-99.0758139833,78,2068,19.3838154724,-99.0758139833
133,3416,19.3763287879,-99.0672299643,110,2883,19.3763362925,-99.0672299643
332,14377,19.4074507731,-99.0036916196,208,5310,19.4074942797,-99.0036916196
527,13349,19.4514996,-99.0786962,72,1948,19.4514687914,-99.0786962
375,9491,19.2645477738,-99.1080333807,165,16533,19.2645417,-99.1080333807
8,10621,19.4007278747,-99.2084346085,439,11130,19.4007208754,-99.2084346085
341,9930,19.2999750045,-99.149322855,105,2754,19.2999925894,-99.149322855
424,10760,19.4788516735,-99.1267709399,275,15193,19.478863894,-99.1267709399
198,15997,19.3021566165,-99.1860186191,124,3175,19.3021547733,-99.1860186191
535,13553,19.5070167023,-99.1080223458,108,2822,19.5070210173,-99.1080223458
116,3003,19.3724450014,-99.0958223712,79,9294,19.3725230685,-99.0958223712
408,10297,19.4797167572,-99.0625036631,248,15026,19.4797247665,-99.0625036631
591,15107,19.1310378493,-98.772744191,42,1111,19.1310678829,-98.772744191
388,9793,19.5134311188,-99.2134834942,119,3056,19.5134951942,-99.2134834942
491,12339,19.4783374408,-99.1633145217,606,15535,19.4782498017,-99.1633145217
46,1232,19.4507851,-99.0794283,299,7791,19.4507600078,-99.0794283
500,12585,19.2978622525,-99.1523532333,144,3693,19.2978625661,-99.1523532333
473,13471,19.3360861313,-99.1766618651,309,12757,19.3360915858,-99.1766618651
65,1777,19.3035613956,-99.1238824547,151,3900,19.303583457,-99.1238824547
156,4027,19.29786491,-99.1523414723,500,12588,19.2978618546,-99.1523414723
144,3723,19.2833940487,-99.2031483963,266,6979,19.283399834,-99.2031483963
540,13719,19.3556084423,-99.084888523,69,1856,19.3555699969,-99.084888523
9,271,19.3005122317,-99.1486224433,369,9370,19.300538754,-99.1486224433
92,2424,19.5079767041,-99.1731153907,206,5281,19.507976035,-99.1731153907
216,5481,19.2552463598,-99.011323899,293,7678,19.2552834,-99.011323899
169,4406,19.3362775315,-99.1770298956,114,2986,19.3362736181,-99.1770298956
128,3268,19.3089614231,-99.0668798581,194,8317,19.3089761522,-99.0668798581
241,6182,19.5086332805,-99.208258001,89,8946,19.5086319308,-99.208258001
357,9124,19.3298580221,-99.2858106586,166,4371,19.3298435729,-99.2858106586
149,3819,19.4200789634,-99.0971093324,299,7785,19.4201033968,-99.0971093324
124,3173,19.3030619528,-99.1858768542,41,15321,19.3030677372,-99.1858768542
215,5424,19.4012116702,-99.2045199893,279,7264,19.4012150207,-99.2045199893
513,12956,19.303795291,-99.1452587728,500,12576,19.3038117228,-99.1452587728
89,8971,19.4566106638,-99.2151436853,308,7979,19.4566494558,-99.2151436853
31,831,19.3059870932,-99.2487160423,263,6901,19.3059578357,-99.2487160423
299,7791,19.4507600078,-99.0794772571,46,1231,19.4507851,-99.0794772571
194,6321,19.3134602295,-99.0570519751,336,8648,19.3134709301,-99.0570519751
454,11478,19.3378024548,-99.1473248058,17,504,19.3377902122,-99.1473248058
81,2136,19.4191697997,-99.1775520767,599,15292,19.4190996159,-99.1775520767
648,16694,19.3509435436,-99.3017649203,542,13786,19.3509945424,-99.3017649203
257,6689,19.3833768589,-99.0759489049,413,10372,19.3834293747,-99.0759489049
331,8564,19.4722204535,-99.2104308702,230,5905,19.4722184165,-99.2104308702
14,410,19.3364011369,-99.0809902709,429,10878,19.3364828895,-99.0809902709
144,3718,19.2844000349,-99.18938782,225,5751,19.2843904205,-99.18938782
78,13286,19.412745206,-99.083109017,25,699,19.4127100122,-99.083109017
83,15285,19.3716504772,-99.1030658319,273,9203,19.3716878102,-99.1030658319
537,14980,19.4710001548,-99.0558131055,2,65,19.4710256987,-99.0558131055
273,9203,19.3716878102,-99.1030221816,83,15285,19.3716504772,-99.1030221816
70,1859,19.2558444051,-99.0112029164,216,5475,19.2558607273,-99.0112029164
583,15401,19.4582930945,-99.2143997871,66,1794,19.4583466,-99.2143997871
143,3671,19.4632206244,-99.1515954151,463,11668,19.4632271,-99.1515954151
229,5890,19.3315557102,-99.1710179676,15,12822,19.3316172583,-99.1710179676
12,337,19.4189462974,-99.1776720785,441,11180,19.4189641436,-99.1776720785
79,2115,19.4076718667,-99.082050616,189,4848,19.4076616585,-99.082050616
404,10188,19.3131146644,-99.1691603221,49,1322,19.3130979433,-99.1691603221
61,5985,19.2585868466,-99.0835329985,165,16546,19.2585885143,-99.0835329985
425,10801,19.3457771165,-99.0638276333,381,9669,19.3457676505,-99.0638276333
67,1804,19.5185118334,-99.1475875372,75,1999,19.5184655122,-99.1475875372
40,7598,19.3858582987,-99.101284079,47,1279,19.3858721717,-99.101284079
438,11106,19.4989497205,-99.184232256,102,15979,19.4989694157,-99.184232256
139,14843,19.4824381911,-99.1064416645,617,15786,19.4824856856,-99.1064416645
152,5118,19.2565960265,-99.1224999257,221,10966,19.2565343332,-99.1224999257
221,5657,19.238120773,-99.1131869783,353,9037,19.2380994388,-99.1131869783
611,15656,19.3948596688,-99.07323546,231,11283,19.3947964217,-99.07323546
500,12587,19.2978734163,-99.1523038259,156,4027,19.29786491,-99.1523038259
152,5127,19.30127512,-99.1471436841,54,1418,19.3012595646,-99.1471436841
241,6185,19.4934558453,-99.2151259653,354,9055,19.493417266,-99.2151259653
327,11626,19.47814532,-99.1198996319,59,7741,19.4781404179,-99.1198996319
440,11151,19.3140757341,-98.9291159679,347,13876,19.3140978242,-98.9291159679
286,7490,19.3987754955,-99.1291191211,543,13799,19.3987317858,-99.1291191211
61,5935,19.3415708103,-99.1375024556,168,4397,19.3416272624,-99.1375024556
29,6123,19.3869009793,-99.242830037,215,5419,19.3869219187,-99.242830037
220,5620,19.3866831519,-99.0390496948,591,15061,19.3866991895,-99.0390496948
537,14966,19.4744191766,-99.0855690874,408,10287,19.4744137268,-99.0855690874
420,10665,19.2549474898,-99.0660130302,61,5992,19.2549779,-99.0660130302
517,13068,19.2652600669,-99.1113973412,176,4556,19.2652538975,-99.1113973412
75,1998,19.5184655562,-99.1475738483,67,1805,19.5185054264,-99.1475738483
256,6648,19.356270776,-98.9832967924,356,9113,19.3562744718,-98.9832967924
248,15037,19.4746627564,-99.0534754451,478,12097,19.4746489785,-99.0534754451
124,3192,19.284662717,-99.190771594,198,16003,19.284637345,-99.190771594
40,7590,19.3912636753,-99.1174743468,47,1271,19.3912287823,-99.1174743468
55,1439,19.4300232866,-99.0526558831,202,5154,19.4300176,-99.0526558831
119,15752,19.5043347372,-99.2012998513,337,8699,19.5042665814,-99.2012998513
59,7751,19.4969579,-99.1183729,580,14749,19.4969579,-99.1183729
226,5807,19.3512549337,-99.0755391678,449,11355,19.3512900012,-99.0755391678
231,5924,19.3915612832,-99.0740054962,624,16028,19.3916192782,-99.0740054962
139,8794,19.499268695,-99.0954735279,504,12701,19.4992407287,-99.0954735279
59,7751,19.4969579,-99.1183729,580,14753,19.4969579,-99.1183729
266,6961,19.3244438833,-99.1731065956,124,3156,19.324399377,-99.1731065956
611,15677,19.3589061187,-99.0853773842,624,16054,19.3589426447,-99.0853773842
309,12757,19.3360915858,-99.1767547228,473,13471,19.3360861313,-99.1767547228
165,16533,19.2645417,-99.1080044,375,9491,19.2645477738,-99.1080044
606,15522,19.463221003,-99.1540491811,599,15303,19.4632328,-99.1540491811
37,967,19.3475531442,-99.1904263246,450,11406,19.3475888608,-99.1904263246
403,10151,19.4530906,-99.1303992,237,6090,19.4530843198,-99.1303992
176,4552,19.2641639761,-99.1029687457,517,13067,19.2641744513,-99.1029687457
133,3419,19.3726436118,-99.0705716837,177,4601,19.3726810457,-99.0705716837
369,9367,19.3130464384,-99.1405605981,647,16648,19.3130388971,-99.1405605981
554,14993,19.2978168813,-99.1378384462,414,10402,19.2977845999,-99.1378384462
194,12069,19.3376496147,-99.0651893208,582,14784,19.3376315886,-99.0651893208
577,16247,19.2672432661,-99.1159471884,176,4557,19.2672400178,-99.1159471884
363,9232,19.5747901149,-99.0426244509,504,12722,19.5747560599,-99.0426244509
43,1169,19.5098206288,-99.1060758773,171,4434,19.509881578,-99.1060758773
372,9453,19.3083730499,-99.1345531101,199,5087,19.3083789055,-99.1345531101
416,10508,19.3967658047,-99.2032160075,334,16161,19.3967637827,-99.2032160075
624,16020,19.4023596764,-99.0715617227,78,13302,19.4024114439,-99.0715617227
59,7751,19.4969579,-99.1183729,580,14746,19.4969579,-99.1183729
281,7300,19.3234219773,-99.1725114373,15,12818,19.3233701652,-99.1725114373
231,5924,19.3915612832,-99.0740054962,624,16027,19.3916192782,-99.0740054962
56,1454,19.4678581835,-99.1235361886,18,12870,19.467847525,-99.1235361886
449,11337,19.3602293,-99.093696,543,13833,19.3602093568,-99.093696
582,14822,19.4061764562,-99.0706049305,366,9282,19.4061843649,-99.0706049305
280,13417,19.4175236993,-99.0722694692,611,15643,19.4175261197,-99.0722694692
347,13903,19.4192779649,-99.094531345,145,9490,19.4192556688,-99.094531345
176,4556,19.2652538975,-99.1113687383,517,13068,19.2652600669,-99.1113687383
137,3546,19.2889887687,-99.14684903,221,5672,19.2889855279,-99.14684903
513,12937,19.2443548828,-99.1481499339,384,9744,19.2443461002,-99.1481499339
465,11739,19.3038331596,-99.1803759173,162,4222,19.3038343912,-99.1803759173
271,7099,19.2816027,-99.0068656,101,2669,19.2816027,-99.0068656
583,15400,19.4576898922,-99.2146593525,308,7977,19.4576222916,-99.2146593525
527,13335,19.5359926155,-99.0273966567,2,57,19.5359232694,-99.0273966567
144,3693,19.2978625661,-99.1523518456,500,12588,19.2978618546,-99.1523518456
528,13359,19.4397597112,-99.089943963,615,15776,19.4397447211,-99.089943963
610,15619,19.302496472,-99.1462193201,569,14514,19.3024320242,-99.1462193201
440,11169,19.3583344334,-98.9911222686,256,6652,19.358367,-98.9911222686
78,2068,19.3838154724,-99.0758277853,413,10374,19.3838654538,-99.0758277853
634,16319,19.5040894702,-99.2013754279,120,3093,19.5041170517,-99.2013754279
98,10097,19.2662674636,-99.2072793624,41,15340,19.2662553922,-99.2072793624
376,9526,19.3242771175,-99.1395517154,36,4692,19.3242094635,-99.1395517154
499,12572,19.375916,-99.1888605,117,3039,19.3759186303,-99.1888605
624,16025,19.3916192782,-99.073992144,231,5924,19.3915612832,-99.073992144
576,14693,19.3029982751,-99.2340173596,97,5859,19.3029987113,-99.2340173596
69,1836,19.3217946962,-99.0821623259,14,403,19.321781831,-99.0821623259
351,9007,19.3881598415,-98.9783598354,565,14440,19.3881571658,-98.9783598354
558,14235,19.3302262608,-99.1402534705,65,1768,19.3302782765,-99.1402534705
282,7308,19.5364015847,-99.027212728,2,55,19.5364603977,-99.027212728
348,8903,19.4198134161,-99.0970085533,347,8872,19.4198190672,-99.0970085533
454,11487,19.3877021598,-99.1617281196,434,11018,19.3877339866,-99.1617281196
221,10966,19.2565343332,-99.12246959,152,5118,19.2565960265,-99.12246959
611,15654,19.3949712501,-99.0732099084,366,9284,19.3950163131,-99.0732099084
254,6592,19.4683256747,-99.1249200177,303,7867,19.468316599,-99.1249200177
98,10096,19.2680355027,-99.2226090215,41,1059,19.2680255202,-99.2226090215
166,4371,19.3298435729,-99.2858978982,357,9124,19.3298580221,-99.2858978982
416,10563,19.3221578887,-98.9588589927,604,15466,19.3222120598,-98.9588589927
8,10629,19.4033104008,-99.1953941816,439,11133,19.4033098066,-99.1953941816
431,10916,19.3390186927,-99.1284910249,158,15781,19.3390223617,-99.1284910249
624,16017,19.4048353096,-99.070988959,78,2072,19.4047760221,-99.070988959
299,7785,19.4201033968,-99.0971442256,149,3819,19.4200789634,-99.0971442256
263,6921,19.3340212208,-99.1994835364,507,12799,19.3340007161,-99.1994835364
387,9782,19.4884003,-99.0162148,250,6475,19.4884202185,-99.0162148
629,16237,19.4929415698,-99.1457159025,67,10870,19.4928621,-99.1457159025
332,8606,19.4189398147,-99.0706834029,55,12999,19.4189908943,-99.0706834029
480,12162,19.336886585,-99.1472612514,15,452,19.3368941522,-99.1472612514
84,2239,19.2845089676,-99.1415396092,221,5670,19.2845487791,-99.1415396092
606,15535,19.4782498017,-99.1633190073,491,12340,19.4783374408,-99.1633190073
149,3809,19.4266006449,-99.1094795868,527,13357,19.426577096,-99.1094795868
189,4848,19.4076616585,-99.0820321618,79,2115,19.4076718667,-99.0820321618
579,14738,19.4782421868,-99.1870376713,102,15962,19.4782691225,-99.1870376713
102,15965,19.4827250255,-99.1860293323,140,3628,19.4827201468,-99.1860293323
543,13847,19.3357589882,-99.0747767673,429,10875,19.3356772958,-99.0747767673
398,10006,19.3386554,-99.0642521,247,6369,19.3386976714,-99.0642521
393,9899,19.4787536116,-99.1211364049,45,13510,19.4788054619,-99.1211364049
81,2137,19.4210262107,-99.1776248782,599,15293,19.420966946,-99.1776248782
179,4635,19.598598263,-99.0497480528,139,3611,19.5985606811,-99.0497480528
327,11603,19.4241789236,-99.182063656,219,5606,19.4241836517,-99.182063656
329,9143,19.5353217143,-99.0641725387,504,12714,19.5352806071,-99.0641725387
102,15962,19.4782691225,-99.1870329654,579,14739,19.4782600445,-99.1870329654
488,12272,19.3411304585,-99.2068955316,166,4323,19.3411260332,-99.2068955316
45,13510,19.4788054619,-99.1211173947,393,9899,19.4787536116,-99.1211173947
433,10972,19.3138542501,-99.1732757841,266,6964,19.3138278203,-99.1732757841
89,2336,19.4583974427,-99.2143555685,66,1791,19.4583466,-99.2143555685
341,9951,19.264448909,-99.1079457296,577,16243,19.2645213237,-99.1079457296
61,1652,19.2550054124,-99.0666164717,165,16548,19.2550328607,-99.0666164717
79,9296,19.3722766521,-99.0970540947,613,15693,19.3722766502,-99.0970540947
434,11018,19.3877339866,-99.1617515176,454,11487,19.3877021598,-99.1617515176
309,7986,19.3420251637,-99.140488724,17,9751,19.3420663,-99.140488724
257,13489,19.4110841283,-99.0819065234,256,7144,19.4111201851,-99.0819065234
256,6648,19.356270776,-98.9832967924,440,11163,19.3562866645,-98.9832967924
578,14735,19.383640506,-99.0685405587,587,14953,19.3837074222,-99.0685405587
94,2448,19.5108804501,-99.1929256239,102,16701,19.510874767,-99.1929256239
285,7430,19.3372714012,-99.1842811517,169,11508,19.337294091,-99.1842811517
98,2571,19.3077398,-99.1804149,124,3169,19.3077593885,-99.1804149
347,13876,19.3140978242,-98.9292053159,440,11151,19.3140757341,-98.9292053159
55,1438,19.4303684481,-99.0520590656,370,9400,19.430356075,-99.0520590656
248,6405,19.4775318119,-99.0443539624,478,12099,19.4775437291,-99.0443539624
308,7977,19.4576222916,-99.2146893738,583,15392,19.4576656035,-99.2146893738
565,14439,19.3881899432,-98.9784212107,351,9007,19.3881598415,-98.9784212107
226,5784,19.3699946,-99.122507,449,11324,19.3699946,-99.122507
229,5886,19.3259338598,-99.1681493165,85,5396,19.3259277413,-99.1681493165
424,10781,19.4913012159,-99.1689399934,262,6880,19.4913352558,-99.1689399934
324,8386,19.3641684121,-99.1889589894,187,4799,19.3641810353,-99.1889589894
63,1703,19.5108530839,-99.192757751,102,16702,19.5108466889,-99.192757751
177,4594,19.3565279839,-99.086805979,257,6677,19.3565295041,-99.086805979
572,14559,19.4683152328,-99.1249545278,254,6592,19.4683256747,-99.1249545278
638,16432,19.3964169775,-99.2074529512,268,6988,19.3964183354,-99.2074529512
408,10287,19.4744137268,-99.0855400346,537,14966,19.4744191766,-99.0855400346
125,3206,19.4081446194,-98.9883362489,112,2922,19.4081446611,-98.9883362489
14,426,19.3585993875,-99.0896865027,561,14315,19.3585992871,-99.0896865027
399,10032,19.3542821255,-99.0588332818,247,6372,19.3541959274,-99.0588332818
