trip1, sequence1, lat, long, trip2, sequence2, lat2,long2
231,11288,19.3822886841,-99.0763748662,624,16039,19.3823337321,-99.0763748662
168,4397,19.3416272624,-99.1375003818,61,5935,19.3415708103,-99.1375003818
239,9980,19.390526252,-99.1251333265,40,7587,19.3905227549,-99.1251333265
624,16054,19.3589426447,-99.085356982,611,15677,19.3589061187,-99.085356982
279,7267,19.403931878,-99.1899133998,29,743,19.4040125771,-99.1899133998
275,15193,19.478863894,-99.1268057751,424,10760,19.4788516735,-99.1268057751
221,10961,19.2769298019,-99.1331421485,152,3931,19.2769004,-99.1331421485
61,6005,19.203384628,-99.0469969984,165,16557,19.2033903328,-99.0469969984
500,12583,19.299292345,-99.150212863,325,8405,19.2992841772,-99.150212863
587,14946,19.3702914566,-99.0747401654,133,3423,19.3702458169,-99.0747401654
325,8427,19.284475309,-99.1890674928,266,6975,19.2844544998,-99.1890674928
263,6916,19.3177450437,-99.2372927842,419,10639,19.317706592,-99.2372927842
317,8252,19.305777956,-99.2340193803,35,892,19.3057795105,-99.2340193803
152,5121,19.2805392436,-99.135319145,137,3534,19.2805359607,-99.135319145
435,11045,19.3163148869,-99.0731400592,216,5453,19.316341123,-99.0731400592
12,357,19.4589683273,-99.1203595622,81,2166,19.4589506031,-99.1203595622
139,6710,19.5955202454,-99.0379946044,387,16490,19.5954978344,-99.0379946044
537,14986,19.4785553271,-99.0469325802,248,15040,19.4785508328,-99.0469325802
517,13069,19.2664473954,-99.1154285087,577,16246,19.2664724969,-99.1154285087
647,16648,19.3130388971,-99.1405630583,369,9367,19.3130464384,-99.1405630583
224,5745,19.4204924056,-99.0957672512,299,7786,19.4204929302,-99.0957672512
39,995,19.3159092083,-99.0603645122,194,12075,19.3159123238,-99.0603645122
159,4105,19.2998388169,-99.1027734524,151,3902,19.2998326138,-99.1027734524
197,5007,19.4504184398,-99.0579666772,618,15815,19.4504076017,-99.0579666772
492,12366,19.4900134029,-99.1205295495,59,11829,19.489966849,-99.1205295495
139,3588,19.5353334344,-99.0641534545,329,9144,19.5353785571,-99.0641534545
535,13554,19.5115873685,-99.1029983843,329,9141,19.5115307637,-99.1029983843
299,11096,19.4508704632,-99.079268362,46,1234,19.4508633297,-99.079268362
202,5156,19.4210279956,-99.059460234,112,2931,19.4210266509,-99.059460234
10,292,19.3602804746,-99.1433392887,558,14226,19.3603333982,-99.1433392887
110,2874,19.3632195833,-99.0833503671,413,10365,19.3631358309,-99.0833503671
235,14457,19.2648831433,-99.1100751169,612,15690,19.2648811509,-99.1100751169
